text,amount_vnd,category,type
Trả nợ 2 1tr,1000000,Trả nợ,Chi tiêu
Phụ cấp tháng 6/2025 2.1 triệu,2100000,Phiếu lương,Thu nhập
Sách Khắc đi khắc đến - Xuân Phượng 145k hôm nay,145000,Giáo dục,Chi tiêu
Hùng tiền nhậu 100k tiền,100000,Đám tiệc,Chi tiêu
5G 150k bằng tiền mặt,150000,4G,Chi tiêu
Đi bơi 40k,40000,Khác,Chi tiêu
Mua thuốc sưng nướu răng 28k ck,28000,Sức khỏe,Chi tiêu
Thanh toán Sách Con đường chẳng mấy ai đi 123k,123000,Giáo dục,Chi tiêu
Đá banh 20k tiền,20000,Khác,Chi tiêu
Đưa Cupe Tiên mượn 150 nghìn,150000,Mượn tiền,Thu nhập
Bánh kem sinh nhật chị Nị 145k tiền,145000,Đám tiệc,Chi tiêu
Wifi 130k tiền,130000,4G,Chi tiêu
Sinh nhật sếp Hoài 350k tiền,350000,Đám tiệc,Chi tiêu
Thanh toán Mạng 5g Viettel 150k,150000,4G,Chi tiêu
Ăn sinh nhật đại ca 300k bằng tiền mặt,300000,Giải trí,Chi tiêu
Ăn uống đi bệnh viện 143k ck,143000,Giải trí,Chi tiêu
"Ăn uống, hớt tóc 185k ck",185000,Tạp phẩm,Chi tiêu
Sinh nhật Linh 220k,220000,Đám tiệc,Chi tiêu
Đổi xăng 30k,30000,Di chuyển,Chi tiêu
220000,220000,Đám tiệc,Chi tiêu
"Sách ""Một đời như kẻ tìm đường"" 135k tiền",135000,Giáo dục,Chi tiêu
Ăn uống đi bệnh viện 143k,143000,Giải trí,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k hôm nay,300000,Đám tiệc,Chi tiêu
2 cho 500k 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
Trà sữa 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Thanh toán Đổ xăng 30k,30000,Di chuyển,Chi tiêu
Thanh toán Lãnh lương tháng 6 6.5tr,6500000,Phiếu lương,Thu nhập
Mượn 2 3tr 3tr tiền,3000000,Mượn tiền,Thu nhập
Ăn kem 30k ck,30000,Cafe,Chi tiêu
Caffe vs đám bạn 66k,66000,Cafe,Chi tiêu
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k bằng tiền mặt",299000,Giáo dục,Chi tiêu
33000,33000,Cafe,Chi tiêu
Mua thuốc 28k tiền,28000,Sức khỏe,Chi tiêu
Mua đất sét cho Khải học 23k,23000,Giáo dục,Chi tiêu
Sinh nhật Mỹ Nhàn 600k bằng tiền mặt,600000,Đám tiệc,Chi tiêu
Reset 1.4tr,1375000,Khác,Chi tiêu
Ăn sinh nhật đại ca 300k tiền,300000,Giải trí,Chi tiêu
Phiếu lương 7.4tr hôm nay,7400000,Phiếu lương,Thu nhập
Làm răng 400k,400000,Sức khỏe,Chi tiêu
Cho Hậu mượn 200k tiền,200000,Mượn tiền,Thu nhập
Thanh toán Tiền cọc dt tháng cuối 1tr,1000000,Trả nợ,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k bằng tiền mặt,100000,Giải trí,Chi tiêu
Thanh toán Điện + wifi 222k,222000,4G,Chi tiêu
Thanh toán Nước coca coi phim 57k,57000,Giải trí,Chi tiêu
Xem phim công tử bạc liêu 146k hôm nay,146000,Giải trí,Chi tiêu
Trả nợ 2 1tr tiền,1000000,Trả nợ,Chi tiêu
Xăng xe 30k,30000,Di chuyển,Chi tiêu
Mượn tiền 2 đi Đà Lạt 2.5tr ck,2500000,Trả nợ,Chi tiêu
Xăng 30k tiền,30000,Di chuyển,Chi tiêu
Sinh nhật Linh 220k bằng tiền mặt,220000,Đám tiệc,Chi tiêu
Thanh toán Nhổ răng 500k 500k,500000,Sức khỏe,Chi tiêu
Bánh kem sinh nhật chị Nị 145k hôm nay,145000,Đám tiệc,Chi tiêu
Dây đeo đồng hồ 310k hôm nay,310000,Khác,Chi tiêu
Xà bông gội đầu 15 nghìn,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua bánh kem cho a 2 20k ck,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Caffe vs đám bạn 66k bằng tiền mặt,66000,Cafe,Chi tiêu
Mua quà 20/10 cho người thân bạn bè 135 nghìn,135000,Quà tặng,Thu nhập
Lì xi trưởng CAH 500k tiền,500000,Quà tặng,Thu nhập
Sửa rửa mặt 283k ck,283000,Mỹ phẩm chăm sóc da,Chi tiêu
Bánh  nghìnem sinh nhật Khải 210 nghìn,210000,Đám tiệc,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
Uống nước nghe nhạc 40k tiền,40000,Cafe,Chi tiêu
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Milo + ăn mở sáng cn 100 nghìn,100000,Tạp phẩm,Chi tiêu
Card wifi 255k bằng tiền mặt,255000,4G,Chi tiêu
Cho Bằng mượn tiền 500k,500000,Mượn tiền,Thu nhập
40000,40000,Cafe,Chi tiêu
30000,30000,Di chuyển,Chi tiêu
Thanh toán Phụ cấp tháng 10 2tr,1952000,Phiếu lương,Thu nhập
Nạp tiền dt mua mạng 130k tiền,130000,4G,Chi tiêu
Thanh toán Cô A.Linh gửi 500k,500000,Quà tặng,Thu nhập
5G 150k bằng tiền mặt,150000,4G,Chi tiêu
10000,10000,4G,Chi tiêu
Mua sữa cho bame 98k hôm nay,98000,Sức khỏe,Chi tiêu
Sinh nhật sếp Hoài 350 nghìn,350000,Đám tiệc,Chi tiêu
35000,35000,Hớt tóc,Chi tiêu
350000,350000,Đám tiệc,Chi tiêu
Ăn uống 300k bằng tiền mặt,300000,Tạp phẩm,Chi tiêu
Mua dầu gội clear 185k,185000,Mỹ phẩm chăm sóc da,Chi tiêu
4G 5 nghìn,5000,4G,Chi tiêu
200000,200000,Mượn tiền,Thu nhập
Cho Hậu mượn 100k 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Trả nợ chị 2 1.5tr bằng tiền mặt,1500000,Trả nợ,Chi tiêu
Ăn sáng 25k,25000,Tạp phẩm,Chi tiêu
Thanh toán Bánh kem sinh nhật chị Nị 145k,145000,Đám tiệc,Chi tiêu
Mượn chị 2 đóng học phí 1tr ck,1000000,Mượn tiền,Thu nhập
Thanh toán Sinh nhật Mỹ Nhàn 600k,600000,Đám tiệc,Chi tiêu
299000,299000,Giáo dục,Chi tiêu
100000,100000,Mượn tiền,Thu nhập
Mẹ cho tiền mua đồ chuẩn bị nhập ngũ 1tr hôm nay,1000000,Quà tặng,Thu nhập
Gửi xe 5k bằng tiền mặt,5000,Di chuyển,Chi tiêu
Cho Bằng mượn 1tr bằng tiền mặt,1000000,Mượn tiền,Thu nhập
Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
Kem rạng da 327k bằng tiền mặt,327000,Mỹ phẩm chăm sóc da,Chi tiêu
Reset 1.4tr bằng tiền mặt,1375000,Khác,Chi tiêu
Nước đá thả lỏng sau long run 5k ck,5000,Sức khỏe,Chi tiêu
Ăn kem 30k bằng tiền mặt,30000,Cafe,Chi tiêu
16000,16000,Quà tặng,Thu nhập
Mẹ cho 500 nghìn,500000,Quà tặng,Thu nhập
Ăn uống đi bệnh viện 143k hôm nay,143000,Giải trí,Chi tiêu
450000,450000,Trả nợ,Chi tiêu
Trả chị 2 1 triệu,1000000,Trả nợ,Chi tiêu
Mua 2 ngày thuốc 100k hôm nay,100000,Sức khỏe,Chi tiêu
Mua nhang 27k bằng tiền mặt,27000,Tạp phẩm,Chi tiêu
Thanh toán Ăn sáng 30k,30000,Tạp phẩm,Chi tiêu
Ăn kem 30k tiền,30000,Cafe,Chi tiêu
5G 150k hôm nay,150000,4G,Chi tiêu
Sữa tắm + lăn khử mùi 210k ck,210000,Mỹ phẩm chăm sóc da,Chi tiêu
50000,50000,Hớt tóc,Chi tiêu
Sinh tố bơ 39k tiền,39000,Cafe,Chi tiêu
Thanh toán Thay nhớt 115k,115000,Di chuyển,Chi tiêu
Thanh toán Tiền bán dt anh 2 cho 200k,200000,Quà tặng,Thu nhập
Trả tiền ăn cơ quan 150k bằng tiền mặt,150000,Phiếu lương,Thu nhập
Đổ xăng 30k hôm nay,30000,Di chuyển,Chi tiêu
500000,500000,Quà tặng,Thu nhập
Thuốc nhứt răng 31k hôm nay,31000,Sức khỏe,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k ck,300000,Đám tiệc,Chi tiêu
Ăn vặt 100k hôm nay,100000,Tạp phẩm,Chi tiêu
Mua đá hồi phục 10k bằng tiền mặt,10000,Sức khỏe,Chi tiêu
Tăng sên 10k bằng tiền mặt,10000,Khác,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k bằng tiền mặt,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn kem 30k tiền,30000,Cafe,Chi tiêu
"Sách ""Chinh phục những điều bất  nghìnhả thi"" 163 nghìn",163000,Giáo dục,Chi tiêu
Thanh toán Trả chị 2 1tr,1000000,Trả nợ,Chi tiêu
Thanh toán Gửi xe 5k,5000,Di chuyển,Chi tiêu
Clear 1.4 triệu,1387000,Khác,Chi tiêu
Ăn uống vs bạn bè 200k,200000,Giải trí,Chi tiêu
Mua caffe đi tòa 33k hôm nay,33000,Cafe,Chi tiêu
Dao cạo râu 22k tiền,22000,Mỹ phẩm chăm sóc da,Chi tiêu
Tiền nước đá 70k bằng tiền mặt,70000,Tạp phẩm,Chi tiêu
Mua đồ ăn cơm 151k,151000,Tạp phẩm,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Dây cáp mạng 120k ck,120000,4G,Chi tiêu
Hớt tóc 50k hôm nay,50000,Hớt tóc,Chi tiêu
Xăng xe 30k ck,30000,Di chuyển,Chi tiêu
Đổ xăng 50 nghìn,50000,Di chuyển,Chi tiêu
Sinh nhật sếp Hoài 350 nghìn,350000,Đám tiệc,Chi tiêu
Đổ xăng 30 nghìn,30000,Di chuyển,Chi tiêu
Cắt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
Mua caffe đi tòa 33k bằng tiền mặt,33000,Cafe,Chi tiêu
Thay nhớt xe 100k hôm nay,100000,Di chuyển,Chi tiêu
Thanh toán Xà bông gội đầu 15k,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Bánh kem sinh nhật chị Nị 145k tiền,145000,Đám tiệc,Chi tiêu
Sách: Hiểu hết về tiền 230 nghìn,230000,Giáo dục,Chi tiêu
300000,300000,Quà tặng,Thu nhập
Hớt tóc 2 cậu cháu 120k,120000,Hớt tóc,Chi tiêu
Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Cupe Tiên cho 200k bằng tiền mặt,200000,Quà tặng,Thu nhập
Không nhớ rõ hoặc nhầm 96k tiền,96000,Khác,Chi tiêu
Thuốc cảm 78k,78000,Sức khỏe,Chi tiêu
Thanh toán Mạng 5g Viettel 150k,150000,4G,Chi tiêu
Làm răng 400k hôm nay,400000,Sức khỏe,Chi tiêu
Mua nước chạy bộ 15k,15000,Sức khỏe,Chi tiêu
Nạp tiền dt mua mạng 10 nghìn,10000,4G,Chi tiêu
Thanh toán Không nhớ rõ hoặc nhầm 96k,96000,Khác,Chi tiêu
150000,150000,Mượn tiền,Thu nhập
Thanh toán Lương tháng 9 2tr,1981000,Phiếu lương,Thu nhập
Bánh kem sinh nhật chị Nị 145k tiền,145000,Đám tiệc,Chi tiêu
Phụ cấp tháng 10 2 triệu,2000000,Phiếu lương,Thu nhập
Trail leo núi Dinh BR VT 298k,298000,Giải trí,Chi tiêu
Ăn sáng 30k,30000,Tạp phẩm,Chi tiêu
Trail leo núi Dinh BR VT 298k hôm nay,298000,Giải trí,Chi tiêu
Hớt tóc 100 nghìn,100000,Hớt tóc,Chi tiêu
Wifi tháng 5 65k,65000,4G,Chi tiêu
Thuốc 7 ngày 98k,98000,Sức khỏe,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k ck,100000,Giải trí,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k bằng tiền mặt,300000,Đám tiệc,Chi tiêu
Cho Cupe Tiên mượn đóng tiền học 300 nghìn,300000,Mượn tiền,Thu nhập
840000,840000,Trả nợ,Chi tiêu
Mua đồ ăn sáng mình + Thịnh 55k ck,55000,Tạp phẩm,Chi tiêu
Trả tiền thiếu 100k bằng tiền mặt,100000,Trả nợ,Chi tiêu
Cho tiền Khải mua đồ 6k hôm nay,6000,Quà tặng,Thu nhập
Thanh toán Mượn 2 3tr 3tr,3000000,Mượn tiền,Thu nhập
Mua bình nc mắm + nấu canh bắp cải + cá nục kho 102k ck,102000,Tạp phẩm,Chi tiêu
Bắt grab về nhà nghỉ bù lễ 210 nghìn,210000,Di chuyển,Chi tiêu
Mượn tiền 2 đi Đà Lạt 2.5tr,2500000,Trả nợ,Chi tiêu
Sim 5gb 1.1tr tiền,1050000,4G,Chi tiêu
Sinh nhật Mỹ Nhàn 600k,600000,Đám tiệc,Chi tiêu
60000,60000,Hớt tóc,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k tiền,100000,Giải trí,Chi tiêu
2000000,2000000,Mượn tiền,Thu nhập
830000,830000,Trả nợ,Chi tiêu
Ăn đêm 25k ck,25000,Tạp phẩm,Chi tiêu
Ăn kem 30k,30000,Cafe,Chi tiêu
Ăn uống vs bạn bè 200k ck,200000,Giải trí,Chi tiêu
Thanh toán Bông tẩy trang 26k,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua đồ ăn cơm 50k ck,50000,Tạp phẩm,Chi tiêu
Thanh toán Sách Con đường chẳng mấy ai đi 123k,123000,Giáo dục,Chi tiêu
Thanh toán Phụ cấp tháng 10 2tr,1952000,Phiếu lương,Thu nhập
Mua đất sét cho Khải học 23k tiền,23000,Giáo dục,Chi tiêu
Ăn sáng 30k hôm nay,30000,Tạp phẩm,Chi tiêu
Rs tiền trong thẻ 126k hôm nay,126000,Khác,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Reset tiền 1.5tr ck,1453000,Quà tặng,Thu nhập
Nhổ răng 500k 500k tiền,500000,Sức khỏe,Chi tiêu
Thanh toán Đám cưới Huyền 500k,500000,Đám tiệc,Chi tiêu
Cho Cupe Tiên mượn đóng tiền học 300k ck,300000,Mượn tiền,Thu nhập
Xem phim công tử bạc liêu 146k tiền,146000,Giải trí,Chi tiêu
Lương tháng 3 3.9tr tiền,3850000,Phiếu lương,Thu nhập
Ăn uống đi bệnh viện 143k,143000,Giải trí,Chi tiêu
Lương tháng 3 3.9tr hôm nay,3850000,Phiếu lương,Thu nhập
Thanh toán Xà bông gội đầu 15k,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Điện + wifi 222k,222000,4G,Chi tiêu
Nc tẩy trang + srm + bông tẩy trang 395k bằng tiền mặt,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Bame cho tiền bán ve chai 360k,360000,Quà tặng,Thu nhập
ChatGPT Plus 157k ck,157000,Khác,Chi tiêu
Bắt grab về nhà nghỉ bù lễ 210 nghìn,210000,Di chuyển,Chi tiêu
Nước coca coi phim 57k hôm nay,57000,Giải trí,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k tiền,450000,Trả nợ,Chi tiêu
Trà sữa 40 nghìn,40000,Cafe,Chi tiêu
Ăn sinh nhật đại ca 300 nghìn,300000,Giải trí,Chi tiêu
600000,600000,Phiếu lương,Thu nhập
Lương tháng 1 2tr bằng tiền mặt,1962000,Phiếu lương,Thu nhập
Thanh toán Lương tháng 7 1.8tr,1800000,Phiếu lương,Thu nhập
Thay nhớt 120 nghìn,120000,Di chuyển,Chi tiêu
Trail leo núi Dinh BR VT 298k hôm nay,298000,Giải trí,Chi tiêu
Mua nước uống 75k bằng tiền mặt,75000,Tạp phẩm,Chi tiêu
210000,210000,Đám tiệc,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
Mua đá hồi phục 10k bằng tiền mặt,10000,Sức khỏe,Chi tiêu
400000,400000,Đám tiệc,Chi tiêu
Nạp tiền dt 30k,30000,Khác,Chi tiêu
210000,210000,Đám tiệc,Chi tiêu
Sách Tài chính cá nhân dành cho người Việt Nam 157k hôm nay,157000,Giáo dục,Chi tiêu
Trả lại tiền ăn 100k tiền,100000,Trả nợ,Chi tiêu
Mua vé xem phim 2/9 160 nghìn,160000,Giải trí,Chi tiêu
Đổ xăng 50 nghìn,50000,Di chuyển,Chi tiêu
Mượn tiền 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
Nhổ răng 500k 500k ck,500000,Sức khỏe,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua nc muối 10k hôm nay,10000,Sức khỏe,Chi tiêu
Đám cưới Huyền 500k hôm nay,500000,Đám tiệc,Chi tiêu
Ăn uống 405 nghìn,405000,Tạp phẩm,Chi tiêu
Vaselines khô môi 65k hôm nay,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn sáng 20k tiền,20000,Tạp phẩm,Chi tiêu
Dây đeo đồng hồ 310 nghìn,310000,Khác,Chi tiêu
Uống nước nghe nhạc 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Thay nhớt 115k tiền,115000,Di chuyển,Chi tiêu
Đi bơi 30k,30000,Khác,Chi tiêu
Mượn mẹ 100 nghìn,100000,Mượn tiền,Thu nhập
Thanh toán Khám sức khỏe hồ sơ xin việc 120k,120000,Sức khỏe,Chi tiêu
Thanh toán Cho Bằng mượn 1tr,1000000,Mượn tiền,Thu nhập
Hớt tóc 50k tiền,50000,Sức khỏe,Chi tiêu
Đổ xăng 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Thay nhớt xe 100k ck,100000,Di chuyển,Chi tiêu
Hớt tóc 100k ck,100000,Hớt tóc,Chi tiêu
Phiếu lương 7.4tr ck,7400000,Phiếu lương,Thu nhập
1000000,1000000,Trả nợ,Chi tiêu
Cho Bằng mượn tiền 1tr hôm nay,1000000,Mượn tiền,Thu nhập
Thanh toán Nạp tiền dt mua mạng 10k,10000,4G,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr hôm nay,2300000,Phiếu lương,Thu nhập
Thanh toán Phụ cấp tháng 12/2025 2.3tr,2300000,Phiếu lương,Thu nhập
Xăng 30k hôm nay,30000,Di chuyển,Chi tiêu
Ăn sáng 15k hôm nay,15000,Tạp phẩm,Chi tiêu
Mẹ cho 1tr hôm nay,1000000,Quà tặng,Thu nhập
Sinh nhật Mỹ Nhàn 600k hôm nay,600000,Đám tiệc,Chi tiêu
Nạp tiền dt 30k ck,30000,Khác,Chi tiêu
Đổ xăng 30k tiền,30000,Di chuyển,Chi tiêu
Mẹ cho 1tr,1000000,Quà tặng,Thu nhập
Mượn 2 mua lẩu 500 nghìn,500000,Mượn tiền,Thu nhập
90000,90000,Tạp phẩm,Chi tiêu
Xăng 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Wifi 130k tiền,130000,4G,Chi tiêu
Mượn tiền 2 đi Đà Lạt 2.5 triệu,2500000,Trả nợ,Chi tiêu
Trả chị 2 1tr ck,1000000,Trả nợ,Chi tiêu
Cắt tóc 60k tiền,60000,Hớt tóc,Chi tiêu
Mua thuốc 28k tiền,28000,Sức khỏe,Chi tiêu
Cupe Tiên chuyển tiền 227k tiền,227000,Khác,Chi tiêu
Thanh toán Mua bánh kem cho a 2 20k,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Cho Bằng mượn tiền 1tr ck,1000000,Mượn tiền,Thu nhập
Phụ cấp tháng 7/2025 2.1tr ck,2150000,Phiếu lương,Thu nhập
1000000,1000000,Mượn tiền,Thu nhập
Thanh toán Học phí kỳ 1 UIT 6.3tr,6320000,Giáo dục,Chi tiêu
Trả nợ chị 2 1.5tr bằng tiền mặt,1500000,Trả nợ,Chi tiêu
Thanh toán Ăn kem 30k,30000,Cafe,Chi tiêu
Thanh toán Vaselines khô môi 65k,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua sữa cho bame 98k,98000,Sức khỏe,Chi tiêu
Mượn a Hảo. Đã  triệuả 100 nghìn,100000,Trả nợ,Chi tiêu
Thanh toán Lượm banh tennis 100k,100000,Quà tặng,Thu nhập
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
Sáp khử mùi 119k tiền,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Mượn tiền 200k,200000,Mượn tiền,Thu nhập
100000,100000,Đám tiệc,Chi tiêu
Sinh nhật Mỹ Nhàn 600k tiền,600000,Đám tiệc,Chi tiêu
18000,18000,Khác,Chi tiêu
Thanh toán Áo + 50k giải CLB Runner LA 200k,200000,Trả nợ,Chi tiêu
Xăng 30k hôm nay,30000,Di chuyển,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k bằng tiền mặt,100000,Giải trí,Chi tiêu
60000,60000,Hớt tóc,Chi tiêu
Khác 100k ck,100000,Khác,Chi tiêu
2300000,2300000,Phiếu lương,Thu nhập
Wifi 130 nghìn,130000,4G,Chi tiêu
Thanh toán Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
Chích redbun + mua dây đeo 50k,50000,Tạp phẩm,Chi tiêu
Trail leo núi Dinh BR VT 298k hôm nay,298000,Giải trí,Chi tiêu
2100000,2100000,Phiếu lương,Thu nhập
Phụ cấp tháng 11 2.1 triệu,2072000,Phiếu lương,Thu nhập
Đưa cupe Tiên mượn 150 nghìn 150 nghìn,150000,Mượn tiền,Thu nhập
Chụp hình 4x6 75k tiền,75000,Khác,Chi tiêu
150000,150000,4G,Chi tiêu
Thanh toán Trả chị 2 300k,300000,Trả nợ,Chi tiêu
Thanh toán Mạng 5g Viettel 150k,150000,4G,Chi tiêu
"Đóng khung hình, photo công chứng 134k bằng tiền mặt",134000,Khác,Chi tiêu
299000,299000,Giáo dục,Chi tiêu
Đưa Cupe Tiên mượn 150k tiền,150000,Mượn tiền,Thu nhập
Tiền caffee mời sếp 58k bằng tiền mặt,58000,Tạp phẩm,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1tr hôm nay,1000000,Phiếu lương,Thu nhập
Gửi thư xin học lại 18 nghìn,18000,Giáo dục,Chi tiêu
Mua mì 120 nghìn,120000,Tạp phẩm,Chi tiêu
Phụ cấp tháng 9 2tr tiền,1953000,Phiếu lương,Thu nhập
Reset 39 nghìn,39000,Khác,Chi tiêu
Bông gòn rái tay 20k hôm nay,20000,Khác,Chi tiêu
Xăng xe 50k bằng tiền mặt,50000,Di chuyển,Chi tiêu
39000,39000,Cafe,Chi tiêu
Mua dầu gội clear 185k bằng tiền mặt,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Nước coca coi phim 57k ck,57000,Giải trí,Chi tiêu
Thanh toán Phụ cấp tháng 5/2025 2.2tr,2220000,Phiếu lương,Thu nhập
Thanh toán Sách Khắc đi khắc đến - Xuân Phượng 145k,145000,Giáo dục,Chi tiêu
10000,10000,4G,Chi tiêu
Đưa Cupe Tiên mượn 150k,150000,Mượn tiền,Thu nhập
Phụ cấp tháng 11 2.4tr bằng tiền mặt,2386000,Phiếu lương,Thu nhập
Sinh nhật sếp Hoài 350 nghìn,350000,Đám tiệc,Chi tiêu
120000,120000,4G,Chi tiêu
146000,146000,Giải trí,Chi tiêu
810000,810000,Quà tặng,Thu nhập
100000,100000,Đám tiệc,Chi tiêu
Hớt tóc 50k tiền,50000,Hớt tóc,Chi tiêu
Trả nợ chị 2 1.5tr tiền,1500000,Trả nợ,Chi tiêu
Mua lốc sữa Ensure cho mami 220k,220000,Sức khỏe,Chi tiêu
Cô A.Linh gửi 500 nghìn,500000,Quà tặng,Thu nhập
Hớt tóc 30k hôm nay,30000,Hớt tóc,Chi tiêu
Nạp tiền dt mua mạng 10k hôm nay,10000,4G,Chi tiêu
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Đổ xăng 20k hôm nay,20000,Di chuyển,Chi tiêu
Sách Tài chính cá nhân dành cho người Việt Nam 157k hôm nay,157000,Giáo dục,Chi tiêu
Lương tháng 7 1.8tr hôm nay,1800000,Phiếu lương,Thu nhập
Đám cưới 500k hôm nay,500000,Đám tiệc,Chi tiêu
100000,100000,Trả nợ,Chi tiêu
Cho Hậu mượn 100k 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Bánh kem sinh nhật chị Nị 145k,145000,Đám tiệc,Chi tiêu
Thuốc men 40k bằng tiền mặt,40000,Sức khỏe,Chi tiêu
Thanh toán Móc treo tranh 15k,15000,Khác,Chi tiêu
Bame cho 100k ck,100000,Khác,Chi tiêu
Cọc tiền dt 450 nghìn,450000,Trả nợ,Chi tiêu
Xà bông gội đầu 25k,25000,Mỹ phẩm chăm sóc da,Chi tiêu
"Sách ""Chinh phục những điều bất  nghìnhả thi"" 163 nghìn",163000,Giáo dục,Chi tiêu
Đám cưới Duyên 500k ck,500000,Đám tiệc,Chi tiêu
Phụ cấp tháng 10 2tr ck,2000000,Phiếu lương,Thu nhập
Tiền nhà 1.2 triệu,1200000,Tạp phẩm,Chi tiêu
50000,50000,Hớt tóc,Chi tiêu
Nước đá thả lỏng sau long run 5k ck,5000,Sức khỏe,Chi tiêu
Thanh toán Mượn 2 1tr 1tr,1000000,Mượn tiền,Thu nhập
Khác 2k bằng tiền mặt,2000,Khác,Chi tiêu
Mẹ cho bỏ túi 500k tiền,500000,Quà tặng,Thu nhập
Phụ cấp tháng 7/2025 2.1tr ck,2150000,Phiếu lương,Thu nhập
Nc tẩy trang 165k ck,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Tiền cọc nhà cũ 1.2tr ck,1160000,Quà tặng,Thu nhập
Trả lại tiền ăn 100k ck,100000,Trả nợ,Chi tiêu
Trả Cupe Tiên 200 nghìn,200000,Trả nợ,Chi tiêu
Sữa tắm + lăn khử mùi 210k tiền,210000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua thuốc 60k,60000,Sức khỏe,Chi tiêu
Hớt tóc 30k bằng tiền mặt,30000,Hớt tóc,Chi tiêu
Mua vé xem phim 2/9 160 nghìn,160000,Giải trí,Chi tiêu
Bánh kem sinh nhật Khải 210k hôm nay,210000,Đám tiệc,Chi tiêu
Thanh toán Sửa rửa mặt 283k,283000,Mỹ phẩm chăm sóc da,Chi tiêu
Uống nước nghe nhạc 40k tiền,40000,Cafe,Chi tiêu
Đổ xăng 50k hôm nay,50000,Di chuyển,Chi tiêu
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Mua sách 182k bằng tiền mặt,182000,Giáo dục,Chi tiêu
Xăng 30k tiền,30000,Di chuyển,Chi tiêu
Uống nước vs bạn 168k tiền,168000,Cafe,Chi tiêu
Điện + wifi 222k hôm nay,222000,4G,Chi tiêu
Trà sữa 40k,40000,Cafe,Chi tiêu
Bame cho tiền bán ve chai 360k,360000,Quà tặng,Thu nhập
Cắt tóc 60k hôm nay,60000,Hớt tóc,Chi tiêu
Mượn chị 2 200k ck,200000,Mượn tiền,Thu nhập
Mạng 150k bằng tiền mặt,150000,4G,Chi tiêu
Đổ xăng 50k ck,50000,Di chuyển,Chi tiêu
30000,30000,Tạp phẩm,Chi tiêu
Uống nước vs bạn 168k bằng tiền mặt,168000,Cafe,Chi tiêu
840000,840000,Trả nợ,Chi tiêu
Sinh nhật sếp Hoài 350k tiền,350000,Đám tiệc,Chi tiêu
Mua vé xem phim 2/9 160k tiền,160000,Giải trí,Chi tiêu
Ăn kem 30k,30000,Cafe,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
